match_id,tournament,year,draw,round,player1,player2,result,match_played,result_source,public_video_count,verified_official_full_video_count,candidate_full_video_count,coverage_status
australian-open-2005-men-qf-andre-agassi-roger-federer,Australian Open,2005,men,QF,Andre Agassi,Roger Federer,6-3 6-4 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2005-men-qf-andy-roddick-nikolay-davydenko,Australian Open,2005,men,QF,Andy Roddick,Nikolay Davydenko,6-3 7-5 4-1 RET,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),0,0,0,not_found
australian-open-2005-men-qf-david-nalbandian-lleyton-hewitt,Australian Open,2005,men,QF,David Nalbandian,Lleyton Hewitt,6-3 6-2 1-6 3-6 10-8,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2005-men-qf-dominik-hrbaty-marat-safin,Australian Open,2005,men,QF,Dominik Hrbaty,Marat Safin,6-2 6-4 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
australian-open-2005-men-sf-andy-roddick-lleyton-hewitt,Australian Open,2005,men,SF,Andy Roddick,Lleyton Hewitt,3-6 7-6(3) 7-6(4) 6-1,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2005-men-sf-marat-safin-roger-federer,Australian Open,2005,men,SF,Marat Safin,Roger Federer,5-7 6-4 5-7 7-6(6) 9-7,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,1,1,verified_official_full_match
australian-open-2005-men-f-lleyton-hewitt-marat-safin,Australian Open,2005,men,F,Lleyton Hewitt,Marat Safin,1-6 6-3 6-4 6-4,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,1,0,verified_official_full_match
australian-open-2005-women-qf-alicia-molik-lindsay-davenport,Australian Open,2005,women,QF,Alicia Molik,Lindsay Davenport,6-4 4-6 9-7,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),4,0,2,public_full_match_candidate
australian-open-2005-women-qf-amelie-mauresmo-serena-williams,Australian Open,2005,women,QF,Amelie Mauresmo,Serena Williams,6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),2,0,1,public_full_match_candidate
australian-open-2005-women-qf-maria-sharapova-svetlana-kuznetsova,Australian Open,2005,women,QF,Maria Sharapova,Svetlana Kuznetsova,4-6 6-2 6-2,True,Jeff Sackmann tennis data archive (CC BY-NC-SA 4.0),1,0,0,candidate_only
